signal_date,execution_date,target_SPY,target_QQQ,target_GLD,target_BIL,execution_adj_open_SPY,execution_adj_open_QQQ,execution_adj_open_GLD,execution_adj_open_BIL
2006-12-29,2007-01-03,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,99.48494551812315,37.22732276375246,63.58000183105469,
2007-01-31,2007-02-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,100.81372357669404,37.92114806025975,65.44999694824219,
2007-02-28,2007-03-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,97.4497627927348,36.44783356166403,66.2300033569336,
2007-03-30,2007-04-02,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,99.81632232666016,37.43077403752768,65.73999786376953,
2007-04-30,2007-05-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,104.21166432301052,39.40216915931606,66.9800033569336,
2007-05-31,2007-06-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,108.04541079936304,40.78213669995591,65.69999694824219,70.60295867919922
2007-06-29,2007-07-02,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,106.38857047467478,40.92554379825284,64.51000213623047,70.91590881347656
2007-07-31,2007-08-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,102.37617794630572,40.65106771428544,65.5,71.17130038828428
2007-08-31,2007-09-04,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,103.97691662688356,41.972080061897785,66.73999786376953,71.47747972869766
2007-09-28,2007-10-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,108.11900963532598,44.15666280715203,73.48999786376953,71.6492129938697
2007-10-31,2007-11-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,108.60783314707464,46.92877902473265,78.4000015258789,71.9170136730664
2007-11-30,2007-12-03,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,104.99451954921965,43.847680381959904,77.38999938964844,72.29278346109513
2007-12-31,2008-01-02,0.0,0.4666666666666667,0.26666666666666666,0.2666666666666666,104.3693467938352,44.04804489061764,83.55999755859375,72.40162237300345
2008-01-31,2008-02-01,0.0,0.2,0.26666666666666666,0.5333333333333333,98.25089485035484,39.09081016923484,91.75,73.10596285477241
2008-02-29,2008-03-03,0.0,0.2,0.26666666666666666,0.5333333333333333,94.83195276227116,36.874208368793234,97.5199966430664,72.75268109425555
2008-03-31,2008-04-01,0.0,0.2,0.26666666666666666,0.5333333333333333,95.6379042220762,38.19276612446775,87.86000061035156,72.92725978316209
2008-04-30,2008-05-01,0.0,0.2,0.26666666666666666,0.5333333333333333,99.05228252811726,40.60884972586014,84.51000213623047,72.98138707059758
2008-05-30,2008-06-02,0.0,0.4666666666666667,0.26666666666666666,0.2666666666666666,100.09013696998583,42.92171919073609,87.47000122070312,72.9766607244402
2008-06-30,2008-07-01,0.0,0.2,0.26666666666666666,0.5333333333333333,91.01588356706856,38.55496867339525,92.52999877929688,73.16150066156175
2008-07-31,2008-08-01,0.0,0.2,0.26666666666666666,0.5333333333333333,91.44750045612378,39.15724821951605,89.5,73.25083940128788
2008-08-29,2008-09-02,0.0,0.2,0.0,0.8,93.54086007987452,40.32739846991157,78.16000366210938,73.33550262841571
2008-09-30,2008-10-01,0.0,0.2,0.0,0.8,83.402818872757,33.4408538150465,86.2300033569336,74.01254727386075
2008-10-31,2008-11-03,0.0,0.2,0.0,0.8,70.02450458414779,28.249076254865308,71.55000305175781,73.6073780256124
2008-11-28,2008-12-01,0.0,0.2,0.0,0.8,63.31724746851395,24.538214504971855,77.1500015258789,73.71340510492236
2008-12-31,2009-01-02,0.0,0.2,0.26666666666666666,0.5333333333333333,65.96845185074008,25.651634858366,85.93000030517578,73.59779807782432
2009-01-30,2009-02-02,0.0,0.2,0.26666666666666666,0.5333333333333333,59.49852463889632,24.815268063814287,89.87999725341797,73.64271930947761
2009-02-27,2009-03-02,0.0,0.2,0.26666666666666666,0.5333333333333333,52.89730120660046,23.38394821940922,93.4000015258789,73.67005702778064
2009-03-31,2009-04-01,0.0,0.2,0.26666666666666666,0.5333333333333333,57.691066399645536,25.858150691387404,91.33999633789062,73.65079498291016
2009-04-30,2009-05-01,0.0,0.4666666666666667,0.26666666666666666,0.2666666666666666,64.2367066173156,29.59781978802427,86.75,73.6588253087354
2009-05-29,2009-06-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,68.81349711595809,30.884695783530365,96.47000122070312,73.69733325010976
2009-06-30,2009-07-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,68.2196259421987,31.614457271451577,92.30999755859376,73.68292236328125
2009-07-31,2009-08-03,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,73.76791654406053,34.4766937584508,94.13999938964844,73.65399169921875
2009-08-31,2009-09-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,75.31935934094572,34.49399919213078,93.41000366210938,73.68932866907942
2009-09-30,2009-10-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,76.45755576044841,36.44027920278562,98.83999633789062,73.67649223437998
2009-10-30,2009-11-02,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,77.29637602533923,35.48815315327431,103.5,73.71021270751953
2009-11-30,2009-12-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,82.33662568899399,37.98963900663226,117.3000030517578,73.69415613259025
2009-12-31,2010-01-04,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,83.86203369631833,40.16852769512618,109.81999969482422,73.66846466064453
2010-01-29,2010-02-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,80.71263692324504,37.19469632748752,106.63999938964844,73.66846908416524
2010-02-26,2010-03-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,82.98887155727549,38.98072162303228,109.4800033569336,73.6845324448892
2010-03-31,2010-04-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,88.27650451660156,41.97331213768047,109.97000122070312,73.6524045025889
2010-04-30,2010-05-03,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,89.46047490858176,42.91935987250168,115.91000366210938,73.66846466064453
2010-05-28,2010-06-01,0.0,0.4666666666666667,0.26666666666666666,0.2666666666666666,81.19490201225848,39.43026334220016,119.87999725341795,73.66846908416524
2010-06-30,2010-07-01,0.0,0.2,0.26666666666666666,0.5333333333333333,77.66590773826339,37.32603767999488,120.91000366210938,73.68453979492188
2010-07-30,2010-08-02,0.0,0.4666666666666667,0.26666666666666666,0.2666666666666666,84.32189670137855,40.41912210987071,116.12000274658205,73.65239715576172
2010-08-31,2010-09-01,0.0,0.2,0.26666666666666666,0.5333333333333333,80.36140890439947,38.42385065412255,122.1500015258789,73.66846466064453
2010-09-30,2010-10-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,87.04423917863183,43.21235354093768,127.91000366210938,73.66846466064453
2010-10-29,2010-11-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,90.13266545809736,45.73627164563225,132.85000610351562,73.68453979492188
2010-11-30,2010-12-01,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,90.98805253352944,46.16420696303004,135.7100067138672,73.68453537043618
